address,balance,TDR,Wallet_Age(Days),From_Count,To_Count
0x5e23d08324f017d5425e59a2782c9ae27ace0958,0.0,0.0,0,0,0
0xd9293636ee3aa663fc563adb0912b0705dafb62c,0.02663,0.568,683,47,53
0x40938d09b4a2a40b6538f7a8f77fc1971f8cef54,0.0,0.0,0,0,0
0xd03ad690ed8065edfdc1e08197a3ebc71535a7ff,0.00146,0.833,2128,33,67
0x88f659b4b6d5614b991c6404b34f821e10390ec0,0.03985,0.362,481,33,67
0x724061efdfef4a421e8be05133ad24922d07b5bf,0.21593,0.0,0,0,0
0x8eef779818afa953b0652e45438423ebe089f55a,0.08224,0.422,601,33,67
0xe15528f5a49f099aaa24fe82ca99836d4a418f1a,0.0,0.0,0,0,0
0xc0882631627786eea84a851f66cdd1c0a070ea28,0.02195,0.087,547,18,25
0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,0.40329,2.222,1429,8,92
0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,0.56338,0.136,1965,39,61
0x413a9c69df59288ef9a7ebe78a2033dd2f3e1af3,0.00568,0.079,520,16,18
0xa8c4e3ce1743d0f2a6c227548c982a7c40569940,5.3425,0.168,1116,32,68
0xbb7b59afa3a0e5be143b8fe9c641f00c1ecb9d69,0.0,0.0,0,0,0
0xc9a25adcf11fc7e6fc8d419f4d4c861b8d57ef37,7e-05,0.0,0,0,0
0xc54a6c3778016b06cbd126ccc3b5bc06c5f666fb,0.2316,0.971,1710,0,100
0x24749aedf18208ab74a8110e07e820286bb5acf8,0.06715,0.345,557,45,55
0x06c4865ab16c9c760622f19a313a2e637e2e66a2,0.08248,0.074,1925,46,54
0xab7b49bacd43bd4cfa41433d477f690bb9e1fb26,0.05548,0.543,1927,18,82
0x896002e29fe4cda28a3ae139b0bf7bac26b33a8c,0.02643,1.136,705,51,49
0x76e4f864bbeb60bee66ff5bbcd32decaf7fbde71,0.06525,0.18,873,39,61
0x2ea5e9e452f85f55be47504153f25740a5f3d78a,0.24946,0.379,1108,41,59
0xfa93c9a95727268b88ff77b5396ed3b8b59a1ba1,0.01405,0.283,595,56,44
0xab888291f4127352b655fd476f64ac2ebfb8fe76,0.02355,0.17,893,45,55
0x1ccb144b700ec726d37db38c617e154de6d9c0d0,0.79497,0.493,776,40,60
0x48b576c87e788a762d6f95a456f2a39113b46950,0.00188,1.429,1000,40,60
0xf4a2a0015292d23ac8018f0252764c5cb296e434,0.07246,0.045,526,11,12
0xb9b93bf2db3678b010e71ef701d763aee144e93e,0.52047,0.719,913,63,37
0x3f5d2058971dfd0103e3bf5e423620b5a42db357,0.00372,0.071,1284,21,64
0x01fede4bb0f06ca47735be98b7a083a60c087a7d,0.00571,0.087,699,21,37
0x5566b3e5fc300a1b28c214b49a5950c34d00eb33,0.0,2.703,885,50,50
0x74264aa892c5c4b596b91f961b1387f94ef3d5a1,0.00369,0.195,638,28,72
0x13dda63c28bb95fe9822fea43ad5feaa966636a9,0.24148,0.377,685,48,52
0xd31a84c20bc430ad75e6a1903e7ddbee52211072,0.26652,0.699,598,50,50
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,1.209,0.296,1859,34,66
0x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7,0.41777,0.365,1865,2,98
