address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant
0xff660ce39c29c6ea4537e7c5b14d3861f83c9e5e,0.00068,1,3.134969800683864,4.4,100.0,0.103,497,23,25,False
0xc1e8378af6b6aa2386012fa40290282d53e740e5,0.0001,0,43.57077081396693,43.570770813966924,100.0,0.016,320,2,2,True
0x269f16fd1beb98c2f1d4aa4e4867a2fb5e8e146d,0.00283,68,3.424540733165297,0.0,0.0,0.013,383,2,2,False
0x5e39f6e67606c9e0c290e89c107cc121873d5a3c,0.00171,68,4.1922282574963,4.0,95.41,0.468,244,35,52,False
0x45babe8dfd2bd51fa3611961d638c363e5167964,0.00668,68,8.024154951359625,8.01,99.82,7.143,144,46,54,False
0x5d40eea672f81447a72af6f4770ce682da7d0808,0.01178,68,4.420924895793712,0.0,0.0,0.32,300,43,52,False
0xa83e5a207977014aff22508e34867b01a8293580,0.00517,68,4.230840330856647,0.0,0.0,1.364,112,26,34,False
0x0b0bdd478d90e388c5f4a9cef7c5a4c93da30762,0.01939,36,40.9799204688606,41.6,100.0,0.15,344,21,27,True
0xdfc06a9488ab8792e0038b8bba1b5c6350d8a168,0.01,68,3.888460152088939,0.0,0.0,0.505,112,24,28,False
0xa2dea8142aece195210b112f2301324adc8dca18,0.00362,0,8.684172803569348,9.342,100.0,0.224,514,49,51,False
0x02cc0a9167f7e317710c166d9538c97d2fa5e5e4,0.00101,24,3.614120588121688,3.742874548234662,100.0,0.621,130,26,28,False
0x400d7004932cbbf9cecdf4adc879f41d6d21446d,0.01334,68,31.90112888933282,0.0,0.0,0.044,430,6,10,True
0x2787e404b0c2608fc5e17279db43e311d547f063,0.00101,68,4.975204267756065,0.0,0.0,0.812,139,43,48,False
0xb7cccc5d92ee8fb7981b4a45522bf5035288f61b,0.00078,68,3.806865346342194,0.0,0.0,0.016,322,1,3,True
0xe899396e8bb79a896ef786ac0a672c7319b03e5c,0.0022,55,4.390236963605999,4.689018266363482,100.0,0.329,257,36,48,False
0x23f48caebaa302323c3d11bf53deb893351e67cf,0.26459,68,13.180050717991834,0.0,0.0,1.0,68,0,1,False
0x623f15339a5527a3934a6297dc54d5b540d25d70,0.0009,39,6.267333399031491,6.267764383296636,100.0,0.871,98,29,32,False
0x4dd64d9cb6c3909196c644321c5b4cbce4d0cef6,0.00255,68,4.108871505571425,0.51,12.41,0.398,227,34,56,False
0x7f694b6db62614c88d0762fe63305adb597030e2,0.0064,68,3.86585103769531,0.0,0.0,1.293,109,24,29,False
0xdc700fb9694c176882f00a4bd30775b546a532c3,0.0079,68,4.174582852985513,3.6,86.24,0.777,113,39,41,False
0xb8710faafbdc99f6bcb32be2527d019bab474d45,0.00126,68,5.929460820910464,0.3496860374439893,5.9,2.778,124,47,53,False
0x379ff14b4e5ce9c5f82fe130c7e5f0ad898497ba,0.04156,68,4.026737573262416,0.0,0.0,0.338,174,24,25,False
0x601729acddb9e966822a90de235d494647691f1d,0.0467,39,80.36572557648331,314.58142838758,100.0,0.036,360,4,8,True
0x5acf0ca5ff43f065f35be9c6a1d3364dd49b5b19,0.01972,19,167.56243980869758,848.8225115457843,100.0,0.023,262,1,4,True
