address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant
0x4d29cd05ea42a227310ff5301d0cffdb79da5dba,0.00028,67,4.282667597597626,0.0,0.0,1.537,108,30,33,False
0x98c98ff79cb86d7f85770ce7510d2feb6fe8dfe6,0.01437,67,5.789791620350191,0.0,0.0,5.263,99,55,45,False
0xf89f3e63c122629b5f864738e07a9687c85e3a85,0.00194,67,3.3857114409226896,0.0,0.0,0.514,150,36,39,False
0x9e422afbab1b14025fb22ea8a0592a8e3218106b,0.0018,1,4.875385649426471,5.15,100.0,0.705,133,30,37,False
0x1a94b31ef1d242180e18524551cacf6ffaf67f9b,0.00336,67,3.752483419157522,0.0,0.0,0.6,104,29,31,False
0xd4022d7189870ed5ca8e4c8fdf1a0a8b526fca5a,0.00391,67,4.122287817074249,0.0,0.0,0.055,433,9,11,True
0x262fd7024fc5980a64b210ee3a35e665e66ef3fc,0.00392,67,3.518320690940587,0.0,0.0,0.522,168,34,38,False
0x0c850333cc74555c27d98cb442d467ac3d11882f,0.00247,67,3.8071547700678856,0.0,0.0,1.404,114,32,34,False
0x3d51847413663696741ccc5081c1e9744b01c3e7,0.004,15,35.03086179331832,54.0,100.0,0.385,488,39,61,True
0x10960a88f25593aae74b426185dc3a63d2b62a1e,6e-05,1,6.418214700758405,6.418214700758405,100.0,0.035,321,5,4,True
0x6ff60e1cf749ae639fbe124ddbc2178c4c988203,0.71135,0,136.47083420601223,143.0,100.0,1.176,454,48,52,True
0x6901581e2e7b4fef427947c7d4359cc030291604,0.00284,67,4.359847716994359,0.0,0.0,0.765,157,37,38,False
0xc43a039f6fcc71462cd8838025446d314ce34592,0.00013,0,2.984212229638521,3.109002210288391,100.0,0.391,161,27,25,False
0x8b9bee39b539f2fb55f53194d3b5b474e8ceb0f7,0.00114,60,3.2180341328386057,3.6343950970008327,100.0,0.735,104,36,36,False
0x845a23ff9f59f8f788f9b94181e5326fcb8c9f6a,0.00388,67,6.872078326526415,0.0,0.0,2.92,92,33,40,False
0x21a85ba090e17f4e2d30399efcbe388887925913,0.00271,67,3.259994596138492,0.0,0.0,0.043,513,10,9,True
0x33042628147e95a1aa9123113b1446696c8d58fa,0.00149,67,3.354509924049303,0.0,0.0,1.548,98,22,26,False
0x3085ed07180e8a052346bebd8385e2c4f4fb8035,0.00416,64,33.45940195396098,1411.7,100.0,0.581,345,47,53,False
0x2c202b373aa9b69a06aa2e3f5e8b650820200b6e,0.00175,63,3.498629557586159,20.0,100.0,0.619,151,39,52,False
0xff46fc5b71f182839ff49d778098bf2c75db25bd,0.02516,67,6.005334773727466,0.0,0.0,1.389,161,47,53,False
0xff7a227b33e460e50329c894fe559f32544171de,0.00466,18,10.318717645621067,10.31871764562107,100.0,0.086,376,14,14,False
0xbde848f414258120a52b57c5124322f97f63c005,0.01194,67,4.448067746106181,0.0,0.0,1.079,130,32,36,False
0x38668771f55b5581155c0acb887b22e8ea65a943,0.00088,67,3.258568189185322,0.0,0.0,1.097,139,35,44,False
0x68e3cf61a8d76bcfca8ea495151416fec501a4c6,0.04287,67,62.24880827069338,0.0,0.0,0.358,262,7,80,True
0x877f760d7fe1b919d388c2f4dd863858c360afb5,0.01095,4,2.8353469473487025,5.67,100.0,0.587,138,20,24,False
0x3ce51ee9097f787a04a1dd0a24f683caa7471363,0.00358,67,2.55066939384794,0.0,0.0,0.026,293,1,6,False
0xbab7812d07f6de1b18ebd86a0ad61993f596ee41,0.01297,67,2.945236944352453,0.0,0.0,0.576,109,26,27,False
0x5731bdb84afda99f3a6fbb887a81c7b63aff6992,8e-05,67,3.600020394346745,3.5,97.22,0.504,180,27,30,False
0x3bf91d59c53c2772fc529abce9515a62f64e6190,0.00013,0,23.73028630277292,58.0,100.0,0.45,320,45,55,False
0xd4762b0b40ae10f1d077c79db12de1814a38269a,0.0,28,9.712359692473091,9.712359692473097,100.0,16.667,97,44,56,False
0xb620deb1dd9c32cdd0f547d64155eccbb0083831,0.00044,67,6.836464077904737,0.0,0.0,0.009,520,1,3,True
0x82f415a9f42e5d36cc608d900525e5a5869364e7,0.00092,67,3.9944955780514193,0.0,0.0,1.441,96,24,25,False
0x7a3a6fe2bde4ae601804bbf951912e51c82060c4,0.01712,67,7.898687651398989,1.0,12.66,0.943,174,49,51,False
0x517c07288216fd840a49e49d49e2644c5ee5a29d,0.03003,67,713.8072091815584,0.0,0.0,0.047,519,10,14,True
0x0186360230a2c62c56c380de3f59d615be2ff250,0.00264,67,9.255415104894809,9.2,99.4,0.376,365,47,53,False
0x2df6f959e8f158bdabb542ddbf29d8d4d2ecbfc2,5e-05,0,3.7399771655197096,3.7399771655197096,100.0,1.024,97,21,21,False
0x9f3c85637212a33bbaf96c1c8eb2049db9052161,0.0,67,4.545345809130053,0.0,0.0,1.412,101,22,26,False
0x510e975d02e3b0f08f7a59e1b38912b0d14fd348,4e-05,0,27.589266023560054,27.589266023560054,100.0,0.781,350,33,67,False
0x92e0032d21d4478429fbad85065bcd1327353c85,0.00021,20,104.2856926967472,109.62067326926343,100.0,0.103,425,17,22,True
0x4e4ed383f747cf817265dcec4a9ead01a6a4b219,0.00222,67,5.950818849377852,3.0,50.41,0.412,254,49,51,False
0xc07cefed5a5265d87b27a5f581d5721a53daa8be,0.00016,67,2.8284548348912626,0.0,0.0,0.862,125,25,25,False
0x11b37c9967240f89ee61b95c9adca1629d65828b,0.01372,67,3.637714583411386,0.0,0.0,0.362,153,24,27,False
0x2fa27a93b01f8631707f25f6300f349529a40077,0.0,67,4.477094326098864,0.0,0.0,0.054,401,6,12,True
0xead0ae5c754dabe924c18fb6fbc1ae15bd5b2b3b,0.00094,37,5.000569090293659,5.000616780613284,100.0,0.769,94,23,27,False
0xd2927a91570146218ed700566df516d67c5ecfab,0.04964,67,10.90076640762225,0.0,0.0,0.136,89,0,3,True
0xa150567d09a0de46618f614bf47540d5c2f54004,0.00395,67,5.790163814426234,3e-05,0.0,0.519,183,39,56,False
0x13724631260269d01ac9757087e85d8b4393cb9c,0.00287,67,3.767217586879692,0.0,0.0,1.395,105,26,27,False
0xcf6ba6727fc1e348a9ad36bb67d017612cd44008,0.10335,67,46.62126766488825,2.0,4.29,0.357,489,51,49,True
0x5d5779fc5cfbc903de02d4077233fe7f38c746ca,0.00098,67,5.779280685026063,0.0,0.0,1.0,67,0,1,False
0x21fc9e43308c696dc3c6aa366a54a26b626beb30,0.00012,67,6.171564996943908,0.0,0.0,0.536,161,30,30,False
0xb60180e30701fc06c955c3290a8c334c510fc57d,0.00239,67,6.9658428304489135,0.0,0.0,1.242,93,33,44,False
0x3842b651c6ec4537f5318241b2b68a58a133654b,0.0,67,3.4169191384054125,0.0,0.0,0.161,267,16,16,False
0x837f048b7c47f5889911de141d36322e794d5473,0.00814,67,6.364685341390875,0.0,0.0,1.211,143,41,51,False
