address,score,rank,relativeScore,daos,proposals,votes,isSmartContract,isActive_in_Daos,list_no
0x5e23d08324f017d5425e59a2782c9ae27ace0958,361.63,1,100.0,1,1595,0,No,True,1
0xd9293636ee3aa663fc563adb0912b0705dafb62c,325.84,2,100.0,128,12,3860,No,True,1
0x40938d09b4a2a40b6538f7a8f77fc1971f8cef54,254.22,3,100.0,6,652,0,No,False,1
0xd03ad690ed8065edfdc1e08197a3ebc71535a7ff,171.33,6,100.0,120,0,1691,No,True,1
0x88f659b4b6d5614b991c6404b34f821e10390ec0,172.37,5,100.0,75,1,1321,No,True,1
0x724061efdfef4a421e8be05133ad24922d07b5bf,160.94,8,100.0,2,487,1,No,True,1
0x8eef779818afa953b0652e45438423ebe089f55a,154.28,9,100.0,93,18,1403,No,True,1
0xe15528f5a49f099aaa24fe82ca99836d4a418f1a,147.13,11,100.0,1,858,0,Yes,True,1
0xc0882631627786eea84a851f66cdd1c0a070ea28,162.02,7,100.0,41,0,989,No,True,1
0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,144.1,13,100.0,112,8,1446,No,True,1
0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,144.95,12,100.0,104,1,1453,No,True,1
0x413a9c69df59288ef9a7ebe78a2033dd2f3e1af3,127.77,19,100.0,44,0,1228,No,True,1
0xa8c4e3ce1743d0f2a6c227548c982a7c40569940,127.33,20,100.0,85,0,1332,No,True,1
0xbb7b59afa3a0e5be143b8fe9c641f00c1ecb9d69,142.14,14,100.0,1,334,0,No,True,1
0xc9a25adcf11fc7e6fc8d419f4d4c861b8d57ef37,132.93,15,100.0,1,327,0,No,False,1
0xc54a6c3778016b06cbd126ccc3b5bc06c5f666fb,131.73,16,100.0,53,2,1371,No,True,1
0x24749aedf18208ab74a8110e07e820286bb5acf8,123.79,23,100.0,73,1,1008,No,True,1
0x06c4865ab16c9c760622f19a313a2e637e2e66a2,128.25,17,100.0,60,0,1365,No,True,1
0xab7b49bacd43bd4cfa41433d477f690bb9e1fb26,125.65,22,100.0,103,1,1069,No,True,1
0x896002e29fe4cda28a3ae139b0bf7bac26b33a8c,121.06,25,100.0,70,13,1217,No,True,1
0x76e4f864bbeb60bee66ff5bbcd32decaf7fbde71,121.76,24,100.0,82,0,1084,No,True,1
0x2ea5e9e452f85f55be47504153f25740a5f3d78a,126.82,21,100.0,87,0,1133,No,True,1
0xfa93c9a95727268b88ff77b5396ed3b8b59a1ba1,115.28,26,100.0,37,0,974,No,True,1
0xab888291f4127352b655fd476f64ac2ebfb8fe76,114.68,27,100.0,94,0,964,No,True,1
0x1ccb144b700ec726d37db38c617e154de6d9c0d0,108.44,30,100.0,109,0,1226,No,True,1
0x48b576c87e788a762d6f95a456f2a39113b46950,108.22,32,100.0,83,0,1150,No,True,1
0xf4a2a0015292d23ac8018f0252764c5cb296e434,108.27,31,100.0,50,4,837,No,True,1
0xb9b93bf2db3678b010e71ef701d763aee144e93e,107.06,33,100.0,114,1,1190,No,True,1
0x3f5d2058971dfd0103e3bf5e423620b5a42db357,109.25,29,100.0,65,2,1019,No,True,1
0x01fede4bb0f06ca47735be98b7a083a60c087a7d,102.49,40,100.0,32,0,846,No,True,1
0x5566b3e5fc300a1b28c214b49a5950c34d00eb33,102.53,38,100.0,1,490,2,Yes,True,1
0x74264aa892c5c4b596b91f961b1387f94ef3d5a1,102.73,37,100.0,56,0,800,No,True,1
0x13dda63c28bb95fe9822fea43ad5feaa966636a9,102.53,39,100.0,69,0,942,No,True,1
0xd31a84c20bc430ad75e6a1903e7ddbee52211072,107.03,34,100.0,94,0,846,No,True,1
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,104.55,35,100.0,39,195,492,No,True,1
0x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7,101.56,42,100.0,107,0,1228,No,True,1
0x97432c12ea8c957c3ae2d59c9953cf8df9cbc5b0,103.32,36,100.0,64,4,1106,No,True,1
0x70b7454d7ba86666e9d29b551f2603a6acc8daac,98.11,46,100.0,57,0,826,No,True,1
0xd7b26011e6eb5857a6251da1f77e9f3d8aac4489,100.86,43,100.0,82,1,925,No,True,1
0xaff17968fd266b1cbf69c19b8be90fc167d8d3ef,114.06,28,100.0,20,0,696,No,True,1
0x44087c57add67bf4672dd6702869dcf4b97ad850,97.68,50,100.0,62,0,943,No,True,1
0x9ae6b470d238a4ab42cac5feb27caa5a19f89510,94.19,60,100.0,59,0,798,No,True,1
0xc8d78cd2b119c6ad149bcdf0a297d63ffede1960,97.77,49,100.0,16,0,622,No,True,1
0x77d4d7ed546b19077720eda2be8c847a1c358125,97.81,48,100.0,78,0,934,No,True,1
0x05f7f81ef8b158be44b96a3a3bd5351bdf28946c,96.26,53,100.0,69,1,800,No,True,1
0x5244736b3a8f898149ae33f013126a20ce7abc62,93.94,62,100.0,59,7,943,No,True,1
0xce68b1394ed29ecaa6974536244d1d2aad4a2745,95.4,55,100.0,55,2,927,No,True,1
0xab3f34994048c2714cf403fdbe38ef8bee79b4bd,91.83,69,100.0,58,0,771,No,True,1
0x1c85d6ae1336d0e4e3f165bbfa9641bfa04cedb1,97.85,47,100.0,74,0,931,No,True,1
0x70ddb5abf21202602b57f4860ee1262a594a0086,99.23,44,100.0,84,0,997,No,True,1
0x88441dcd4bc985965e69ecf5a454b04dc84ed876,91.4,71,100.0,52,0,776,No,True,1
0xb957dccaa1ccfb1eb78b495b499801d591d8a403,98.11,45,100.0,64,0,761,No,True,1
0x3da952ccef2b63bf708f7f78a0ed333faa5cdaf7,89.06,84,100.0,46,0,749,No,True,1
0x95d8bc3ebcec8a8f2d3bdafe141ea118fbd7ca3f,90.97,72,100.0,52,0,767,No,True,1
0x670f2a946f731c6a1aede41f27f2fd4a378abb5d,88.63,87,100.0,46,0,746,No,True,1
0xb5b44c678659035cb6ff87e9f1393b54a4d0a335,89.16,83,100.0,45,0,753,No,True,1
0x7d55507f7d96b373706c0131fffbc4ffdcb3b6f6,96.41,52,100.0,40,4,736,No,True,1
0xb44ac514588be99870220d12120815bc3d349507,97.67,51,100.0,44,2,982,No,True,1
