address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant,duration
0xca4c08042d1cc9f898599c6675e45923af385d0c,0.01556,68,4.164454054899205,0.0,0.0,0.61,159,42,47,False,Over 4 weeks
0x6803d123aa157b643d7efbe96570b0f95e2b4e62,0.02113,68,1757.8562242405546,0.0,0.0,0.267,515,38,62,True,Over 4 weeks
0xa0645bd28def701df72f9214f339f835469f0018,0.0,68,5.571589459796827,0.0,0.0,2.577,94,32,35,False,Over 4 weeks
0x16da2dcace4609212e172e466d7d3bbc47c98dcb,0.00143,7,5.014327625518771,5.346219291615301,100.0,0.718,170,38,41,False,Less than a week
0x75325d182c581f4e7870b1542ecca0664af35217,0.14741,68,16.770753915386255,5.0,29.81,3.03,155,48,52,False,Over 4 weeks
0x214def5ec16f0e744b82386a3c52e7bc39c081cb,0.0,21,3.3928305307506035,3.392834736512872,100.0,0.898,95,22,22,False,2-3 weeks
0xb984b6f567d76d29985404cae7593efb41011d41,0.00179,15,4.419807760163294,10.222779897930105,100.0,2.174,125,44,56,False,2-3 weeks
0xf1327d3e986bcb3848e91236425a016870ba5d72,6e-05,68,3.047444267428589,0.0,0.0,1.114,103,19,20,False,Over 4 weeks
0xbc2e26ded32a96911b65ee2283a1e30f077bbc59,0.0061,0,72.89820384169123,74.90373372174354,100.0,0.826,389,50,50,False,Less than a week
0xcf263cf75c2b46094fcb08bd61a11426304feb6e,0.0,0,229.3571940359546,229.3571940359546,100.0,0.169,494,35,38,True,Less than a week
0x28802be823ac67a800e1ce212dd6dc1692249294,0.00527,68,4.921016406281332,0.0,0.0,1.0,119,25,26,False,Over 4 weeks
0xe56b8925a911599f84b38bd10eb9cc2a0421e0fa,0.01479,68,15.905931559396103,0.1,0.63,0.366,418,45,55,False,Over 4 weeks
0xc4a0b25d40d16d85b4efd4df024f3a6bcf5f7cd8,0.00023,1,3.5826539158057127,4.9,100.0,0.099,497,22,24,False,Less than a week
0xf4bee4e5109bac5daaa2d0fbfcf65d391a6f0a52,4e-05,68,3.932553377417044,3.93,99.94,0.568,98,28,26,False,Over 4 weeks
0x8851bef8d6c006d357220b04eb9481bdedb238e2,0.00163,0,9.741788752655252,10.020288891863052,100.0,2.564,150,39,61,False,Less than a week
0xc766fc701f7eb4a0c858d173f079dc7a45124886,0.00038,36,3.239626691002361,3.239649324578782,100.0,0.686,101,24,24,False,Over 4 weeks
0xd3ac6656d3f06368546f3a9baa0fa0e33f05ed94,0.00035,1,5.446191634042496,10.0,100.0,2.0,207,51,49,False,Less than a week
0xdbae47d529c54a154a59b9e0181eebe3d7812bef,0.00141,68,3.739007515828145,0.0,0.0,1.349,111,27,31,False,Over 4 weeks
0x4b3595e2bd02f6fd3adf2f47e3f62217b15f3cd1,0.00187,68,4.690719247568524,1.0,21.32,0.604,140,36,45,False,Over 4 weeks
